Subramaniam, Ajay Krishnan ID:663

1. wenli yang: 0.370814445591
2. julie morris: 0.354795896478
3. douglas schuster: 0.3532111905
4. margaret o'brien: 0.351273583819
5. thomas cram: 0.350394620813
6. james frew: 0.346251524839
7. matt austin: 0.344978286062
8. rebecca koskela: 0.344214317489
9. denise hills: 0.343931869951
10. john kunze: 0.343435990558
